DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Butyrate_Power
COLOR,#E64B35
WIDTH,300
DATA
S_ERR13594534_bin.3,  0.00000000
S_ERR13594535_bin.3,  4.55140029
S_ERR13594585_bin.6,  3.60568836
S_ERR13594585_bin.4,  0.00000000
C_P03_bin.3,  0.00000000
C_P30_bin.3,  0.00000000
S_ERR13594574_bin.4,  0.00000000
S_ERR13594568_bin.2, 64.85564243
S_ERR13594543_bin.1,  0.00000000
C_P23_bin.5,  0.00000000
S_ERR13594582_bin.12,  0.00000000
S_ERR13594579_bin.3,  0.00000000
S_ERR13594582_bin.13,  0.00000000
S_ERR13594567_bin.7,  0.00000000
S_ERR13594537_bin.1,  0.00000000
C_P14_bin.1,  0.00000000
C_P13_bin.2,  1.36575307
S_ERR13594543_bin.2,  7.40677300
S_ERR13594554_bin.2,  0.00000000
S_ERR13594586_bin.4,  0.00000000
C_P18_bin.6,  0.00000000
S_ERR13594530_bin.11,  0.00000050
C_P14_bin.16,  0.00000000
C_P04_bin.18,  7.24527057
S_ERR13594532_bin.3,  0.00000000
C_P20_bin.23,  0.00000000
S_ERR13594580_bin.4,  0.00000000
C_P17_bin.3,  0.00000000
C_P20_bin.21,  0.00000000
S_ERR13594553_bin.15,  0.00000000
S_ERR13594555_bin.12,  9.99795357
S_ERR13594533_bin.1,  0.60455725
C_P03_bin.5,  0.00000000
S_ERR13594551_bin.3,  0.00000000
S_ERR13594544_bin.8,  0.00000000
C_P12_bin.5,  0.00000000
C_P19_bin.4,  0.00000000
S_ERR13594530_bin.10,  0.00000000
C_P29_bin.5,  0.00000000
C_P04_bin.14,  0.00000000
C_P23_bin.11,  0.00000000
C_P03_bin.4,  0.00000000
S_ERR13594568_bin.3, 26.36920671
S_ERR13594530_bin.5,  0.00000000
C_P01_bin.8, 39.58603757
S_ERR13594544_bin.2,  0.00000000
S_ERR13594566_bin.2,  0.00000000
S_ERR13594522_bin.3,  0.00000000
C_P20_bin.15, 14.94163604
S_ERR13594536_bin.4,  0.00000000
S_ERR13594563_bin.2,  0.00000000
C_P04_bin.2,  0.00000000
C_P18_bin.7, 11.93469361
